Content Manifest for Depot 2722711 

Manifest ID / date     : 3533270317117975849 / 08/05/2025 22:25:57 
Total number of files  : 1395 
Total number of chunks : 3575 
Total bytes on disk    : 2538265679 
Total bytes compressed : 1847648256 


          Size Chunks File SHA                                 Flags Name
         16155      1 e7826063dbe589add32b05bf7b080284304e1089     0 Data\EditorFiles\Bundles\AlphaByCurve.pofx
          8243      1 dc91b31e849701b351f127ed1ef32baf3a727760     0 Data\EditorFiles\Bundles\Basic Init.pofx
         40218      1 e2128e6dc5ed27a2739bcec396d77e88eaa2b789     0 Data\EditorFiles\Bundles\BiDirectionalRotation.pofx
          6758      1 16280540bba8a1e98cef67f0eb1cf9dd06e003f0     0 Data\EditorFiles\Bundles\Cylinder.pofx
         13233      1 9fc5eb3d02611e448acf825958573ebb9bd92feb     0 Data\EditorFiles\Bundles\Drag.pofx
         28734      1 3be57d56e08cfcddde773dacbfd162379dff4056     0 Data\EditorFiles\Bundles\Flipbook Settings with Curve.pofx
         22307      1 cc4aaf0f4de19429781b793b08b79ab3547bb8d2     0 Data\EditorFiles\Bundles\Flipbook Settings.pofx
          4933      1 e64ab2d0b56a6d2ad9545c34c3bf8b29ba6bdcbf     0 Data\EditorFiles\Bundles\FlipBook.pofx
         20843      1 d3754046ffbf5aaf165c01d033d90a0b9cf7d651     0 Data\EditorFiles\Bundles\Flipbook_TimeBased_OverAge.pofx
         15002      1 0a7dae345e9f515a70e635daae31cc3e14072d5f     0 Data\EditorFiles\Bundles\GAME_Wind_AsForce.pofx
         16113      1 ce10dbef8b505f30b8742b4273e800fc17d860c4     0 Data\EditorFiles\Bundles\GAME_Wind_AsVelocity.pofx
         12745      1 23f31680e5472fcb6c7822f22b50214b93ebbb79     0 Data\EditorFiles\Bundles\Gravity.pofx
         31616      1 a09b5e6e8ce94f89c37cbba84eb939c23deb4f05     0 Data\EditorFiles\Bundles\Line Attractor.pofx
         31309      1 09aeed5a5ac2ae72fd1da6575e53c0292b309072     0 Data\EditorFiles\Bundles\Point Attractor.pofx
          4426      1 65f559bde8a55bd0fc729b685df1df7b385ab69d     0 Data\EditorFiles\Bundles\Ribbon.pofx
          6752      1 94657dea3d229d1a1584a2df3f3aee3bf0b8a28e     0 Data\EditorFiles\Bundles\Rotation.pofx
         24464      1 64a14b8d338c52eca91d1b7d298f5eea8c2b0b4e     0 Data\EditorFiles\Bundles\Scale Parameters.pofx
         27846      1 c61dff0dee33399b9e31823a228c63c06422f5e0     0 Data\EditorFiles\Bundles\ScaleBySpawnShape.pofx
         15579      1 97a8b61673eb60ef5a6bab631a37dd188b9c6263     0 Data\EditorFiles\Bundles\StretchByVelocity.pofx
         71008      1 bfecc09ff196e1f2ec6e3f97aba7761bc1402b42     0 Data\EditorFiles\Bundles\Turbulence_SineBased.pofx
         19725      1 04dc6724526a954d7265854841d9882bc7b3a520     0 Data\EditorFiles\Bundles\UVScroll.pofx
             0      0 0000000000000000000000000000000000000000    40 Data\EditorFiles\Bundles\Variables
          6577      1 90eba25f946c7022950da61f9fbe0beb7732323b     0 Data\EditorFiles\Bundles\Variables\BeamProjectileVars.pofx
         38078      1 825b88b803986e4940e1526ed34cab1135cf0bf3     0 Data\EditorFiles\Bundles\Variables\EmitterProjectileVars.pofx
         35859      1 7731999453dedae47e0a023a77d6581be328c843     0 Data\EditorFiles\Bundles\Velocity.pofx
             0      0 0000000000000000000000000000000000000000    40 Data\EditorFiles\Particles
           133      1 633e50bfdd9cbb405e54abc5024388e8027a7d1f     0 Data\EditorFiles\Particles\ParticlesLODCurves.json
          3912      1 40d073f2b0a7e8a896033826b67bc8386ac356f6     0 Data\EditorFiles\Particles\ParticlesLODPresets.json
             0      0 0000000000000000000000000000000000000000    40 Data\EditorFiles\Primitives
         27235      1 b44c8b015e95627d27b49a59b15d6125bd3af9ff     0 Data\EditorFiles\Primitives\VCPreviewCube01.nif
         18089      1 990dc49e216c2b25079da25f9ece618247633e1a     0 Data\EditorFiles\Primitives\VCPreviewCylinder01.nif
          2395      1 85d4f05415520dd7d59377fa2be7b07506ade86b     0 Data\EditorFiles\Primitives\VCPreviewPlane01.nif
         21377      1 b0eaf4c9ef3d8f8ccac59b0343c992d4b052f4aa     0 Data\EditorFiles\Primitives\VCPreviewSphere01.nif
             0      0 0000000000000000000000000000000000000000    40 Data\EditorFiles\RuleTemplates
             0      0 0000000000000000000000000000000000000000    40 Data\EditorFiles\RuleTemplates\Bundles
          1495      1 0facffc49710b459225ae52e35017ce3f164c7c6     0 Data\EditorFiles\RuleTemplates\Bundles\Age & Lifetime.json
          1449      1 1fd1a4567f0c6adb37f6465b2e08b0d85f3c48cc     0 Data\EditorFiles\RuleTemplates\Bundles\Basic Init.json
          2307      1 a3013e04d5d98543b9e855e208cb2338132c8d5a     0 Data\EditorFiles\RuleTemplates\Bundles\BiDirectionalRotation.json
           768      1 809c4eb5025f040b0a7b0d8d04ee2f852c2858f4     0 Data\EditorFiles\RuleTemplates\Bundles\Drag.json
           504      1 6c3b1d0160691ac274ce21577e05bd051ae35b2d     0 Data\EditorFiles\RuleTemplates\Bundles\Gravity.json
          1327      1 ae59ff586a5c3ba5b2a3e4a03959734747d030a8     0 Data\EditorFiles\RuleTemplates\Bundles\Line Attractor.json
          1136      1 77d7eecf5581e893c70e150cf1fe1c4a2f6f7b1d     0 Data\EditorFiles\RuleTemplates\Bundles\Point Attractor.json
           489      1 a5ffbc954e7bbbbd20edc388eda15ec044d8da4f     0 Data\EditorFiles\RuleTemplates\Bundles\Ribbon.json
           958      1 29540f4288a88b4cc5cdb1d2ae8d77c16ae439a8     0 Data\EditorFiles\RuleTemplates\Bundles\Rotation.json
          2215      1 1f127f78e0f43ca2a4d16bd5bc7a0b031a2eefbd     0 Data\EditorFiles\RuleTemplates\Bundles\UVScroll.json
           824      1 08d986976fbd3199311c41e020b497531b15a72d     0 Data\EditorFiles\RuleTemplates\Bundles\Velocity.json
             0      0 0000000000000000000000000000000000000000    40 Data\EditorFiles\RuleTemplates\ShaderModels
          3014      1 13f715372c354ed4c22cc694e4a378d662714d32     0 Data\EditorFiles\RuleTemplates\ShaderModels\1LayerEffect.json
          3139      1 2c724c03764dcc32dd55af35cf6ff1df32b650a4     0 Data\EditorFiles\RuleTemplates\ShaderModels\1LayerEffectEmissive.json
          3862      1 8103b26d052043411ca383c42c513dae3efe2681     0 Data\EditorFiles\RuleTemplates\ShaderModels\1LayerEffectEmissiveOnly.json
          4225      1 87aefdd77ef3aa807c1fe119623593a6440362c7     0 Data\EditorFiles\RuleTemplates\ShaderModels\1LayerEffectEmissiveOnlyRemap.json
          3303      1 b4bc6e75073a2c82f062a5a0945a92a8f062658e     0 Data\EditorFiles\RuleTemplates\ShaderModels\1LayerEffectEmissiveRemap.json
          2994      1 2874a84da52b49538614a2a76d6380f437a3a763     0 Data\EditorFiles\RuleTemplates\ShaderModels\1LayerEffectGlass.json
          3098      1 5fdfec8516c87a8e34e36651e5f49661de545365     0 Data\EditorFiles\RuleTemplates\ShaderModels\1LayerEffectGlassNoFrost.json
          3451      1 aef3f6d6c937ef718fcbba0ca4bfda78c9d34586     0 Data\EditorFiles\RuleTemplates\ShaderModels\1LayerEffectRemap.json
           524      1 d75afe5f441feb878c3e589f9ce12b8494615a49     0 Data\EditorFiles\RuleTemplates\ShaderModels\1LayerEyebrow.json
          2168      1 041dc95e276c60427b1c9c0302d17019e1303b0f     0 Data\EditorFiles\RuleTemplates\ShaderModels\1LayerMouth.json
          3452      1 f8fcb5859e2dddbe3e86f966cfa05a81e51948f8     0 Data\EditorFiles\RuleTemplates\ShaderModels\1LayerPlanetDecal.json
          2552      1 1d6252b37065b8ae38609311078fbee497bd0f04     0 Data\EditorFiles\RuleTemplates\ShaderModels\1LayerStandard.json
          3231      1 0a67aa87b4246e6f55f5b149455cb5ec7a351173     0 Data\EditorFiles\RuleTemplates\ShaderModels\1LayerStandardDecal.json
          3441      1 4abe98c417b2ca221f75e5663002b52f31139df9     0 Data\EditorFiles\RuleTemplates\ShaderModels\1LayerStandardDecalEmissive.json
          4584      1 34329891ee6d92d42d26f8695f7628b73d464855     0 Data\EditorFiles\RuleTemplates\ShaderModels\2LayerEffect.json
          6598      1 dd42c1dd0ffed1364707d7d4ab3a1e607733cdf1     0 Data\EditorFiles\RuleTemplates\ShaderModels\2LayerEffectEmissive.json
          8820      1 b2cabe90283b7b8a7c264acb71bf7e3bfd97f634     0 Data\EditorFiles\RuleTemplates\ShaderModels\2LayerEffectEmissiveOnly.json
          9171      1 a579d0140439ccc391c2eedfd7e63acc4188554f     0 Data\EditorFiles\RuleTemplates\ShaderModels\2LayerEffectEmissiveOnlyRemap.json
          6685      1 cfaad3bb673b8b239e34931efde9552b1bfa194e     0 Data\EditorFiles\RuleTemplates\ShaderModels\2LayerEffectEmissiveRemap.json
          5021      1 e32dbd15ed79c8e6ea040624a00cd00e0431d47f     0 Data\EditorFiles\RuleTemplates\ShaderModels\2LayerEffectRemap.json
          5192      1 152b78a2ef03376cd59a4292b8b9777948377bcb     0 Data\EditorFiles\RuleTemplates\ShaderModels\2LayerPlanetDecal.json
          4122      1 c84d92c792790effef810b66a47f201daf2849cb     0 Data\EditorFiles\RuleTemplates\ShaderModels\2LayerStandard.json
          3722      1 392aa3acf7a365e446f548938119d988838de095     0 Data\EditorFiles\RuleTemplates\ShaderModels\2LayerStandardEmissive.json
          5953      1 8b97475569c2cbd97671234609568bb92da8391a     0 Data\EditorFiles\RuleTemplates\ShaderModels\3LayerEffect.json
          6104      1 f1613ee5a1bbee561d14dce72a7d5ce4318a2cae     0 Data\EditorFiles\RuleTemplates\ShaderModels\3LayerEffectEmissive.json
          9671      1 5117d0897fe0a06851c78539fa8eb5133754f32c     0 Data\EditorFiles\RuleTemplates\ShaderModels\3LayerEffectEmissiveOnly.json
          6932      1 de0c3a8bc067e49f5fc212488b18589932cc55fb     0 Data\EditorFiles\RuleTemplates\ShaderModels\3LayerPlanetDecal.json
          5548      1 3aab31985c534e06b9501329f9eccdefa5c3e7a5     0 Data\EditorFiles\RuleTemplates\ShaderModels\3LayerStandard.json
          5154      1 9e7792547c1b9757ce5c48ad0c527989fc498ff5     0 Data\EditorFiles\RuleTemplates\ShaderModels\3LayerStandardEmissive.json
          8672      1 ef51ef6a0d7d40d171846c716b15f34298cbce04     0 Data\EditorFiles\RuleTemplates\ShaderModels\4LayerPlanetDecal.json
          7131      1 4e35119705b746db39e10220e49810426811f312     0 Data\EditorFiles\RuleTemplates\ShaderModels\4LayerStandard.json
          1366      1 b2c4e48420d4d5b496bdfb2bae585f5f3d9dee84     0 Data\EditorFiles\RuleTemplates\ShaderModels\BaseMaterial.json
          3274      1 66b0aa500f07f5e703680e1563203368b19c02ba     0 Data\EditorFiles\RuleTemplates\ShaderModels\BodySkin1Layer.json
          4276      1 8e27dacd3f6e9314fa1be0668db4064e2cc86169     0 Data\EditorFiles\RuleTemplates\ShaderModels\Character2Layer.json
          6034      1 e2da10d76186dabf456cc0ba9070c07ce0aacd49     0 Data\EditorFiles\RuleTemplates\ShaderModels\Character3Layer.json
          7831      1 b6e70d2f4bdbce90063d281a5aa7e868a395e548     0 Data\EditorFiles\RuleTemplates\ShaderModels\Character4Layer.json
          2561      1 b4e80a55ce9146ed1df6654c8b76b0cbc2810b02     0 Data\EditorFiles\RuleTemplates\ShaderModels\CloudCard.json
          3396      1 a0e09a15eb54646ab6c7547e973abcf3a807d967     0 Data\EditorFiles\RuleTemplates\ShaderModels\ColorEmissive.json
          3132      1 873fd388d620053dca64d5764de6af1e060a5876     0 Data\EditorFiles\RuleTemplates\ShaderModels\Debug.json
          3743      1 6ad39a0fd1992d8fc5485cfd38ec6e021c3323df     0 Data\EditorFiles\RuleTemplates\ShaderModels\Experimental.json
          6473      1 94a7094f101cba539cc85b2a859b0f2d0a263805     0 Data\EditorFiles\RuleTemplates\ShaderModels\Eye1Layer.json
          3321      1 d34f6531bfc099db13fd4c39a69f2c1b6d8cb551     0 Data\EditorFiles\RuleTemplates\ShaderModels\EyeWetness1Layer.json
          3095      1 fefc648958f95198222d66566ac7aa3797a92a10     0 Data\EditorFiles\RuleTemplates\ShaderModels\GlobalLayer.json
          2296      1 0d92d9a09de777e964c1531121c0d6f9b242c53c     0 Data\EditorFiles\RuleTemplates\ShaderModels\Hair1Layer.json
           429      1 4c9ec48c9840be62c48ba37a31dffb13f55945fe     0 Data\EditorFiles\RuleTemplates\ShaderModels\Invisible.json
           932      1 07903997e198b6feb23be5fd89994dc83d3d1211     0 Data\EditorFiles\RuleTemplates\ShaderModels\Occlusion.json
          5950      1 ab6233860836528bc6212f508bfbfba2fe5985e9     0 Data\EditorFiles\RuleTemplates\ShaderModels\PlanetaryRing.json
         18064      1 5a1f8c613b11c0a0b068e00461907ce7f380f28a     0 Data\EditorFiles\RuleTemplates\ShaderModels\Skin5Layer.json
           492      1 f1cc804f4e4bfc7f4fa867fc5ffcb3179937d80c     0 Data\EditorFiles\RuleTemplates\ShaderModels\StarmapBodyEffect.json
           792      1 cf5968ad19bcabea5c37b906961eb783fb8158d7     0 Data\EditorFiles\RuleTemplates\ShaderModels\Terrain1Layer.json
           869      1 400854d9c65a15c7e6c73c77eb26761fa5e4cb33     0 Data\EditorFiles\RuleTemplates\ShaderModels\TerrainEmissive1Layer.json
          2706      1 237721aa4cab190a2afa161f93487042a91300b6     0 Data\EditorFiles\RuleTemplates\ShaderModels\TranslucentThin1Layer.json
          2726      1 6efaf1254c9ff7eb60a96074ed985db2df081664     0 Data\EditorFiles\RuleTemplates\ShaderModels\TranslucentTwoSided1Layer.json
          2292      1 fb86b76ff3aaf2222476fa945cbca49e26e364ec     0 Data\EditorFiles\RuleTemplates\ShaderModels\TwoSided1Layer.json
          1932      1 46d835c43fc3584bfbcc02e15cffb1b0371d46c0     0 Data\EditorFiles\RuleTemplates\ShaderModels\VegetationEmissive1Layer.json
          3623      1 20c03ca309c42f63e805de5acb1af3e12127b932     0 Data\EditorFiles\RuleTemplates\ShaderModels\VegetationEmissive2Layer.json
          2205      1 08af2fa6cff8943c87162feea9a0e440cdd6274e     0 Data\EditorFiles\RuleTemplates\ShaderModels\VegetationStandard1Layer.json
          4302      1 822dc641afdd0c70823c25420c76d84ac2d67f5c     0 Data\EditorFiles\RuleTemplates\ShaderModels\VegetationStandard2Layer.json
          3108      1 28e67102e6b1ff655377342d0e2aa2ccc06db782     0 Data\EditorFiles\RuleTemplates\ShaderModels\VegetationTranslucent1Layer.json
          4521      1 cf706499e0dd83d98c7b6cf02a52c75adb302b38     0 Data\EditorFiles\RuleTemplates\ShaderModels\VegetationTranslucent2Layer.json
          9992      1 94f3bbd148d0a2102ba05c0fb16458e8ffb0eb0e     0 Data\EditorFiles\RuleTemplates\ShaderModels\Water.json
          1995      1 728cd8fd3c099d1fd844b976d11d621ade28366c     0 Data\EditorFiles\RuleTemplates\ShaderModels\Water1Layer.json
             0      0 0000000000000000000000000000000000000000    40 Data\Source
             0      0 0000000000000000000000000000000000000000    40 Data\Source\TGATextures
             0      0 0000000000000000000000000000000000000000    40 Data\Source\TGATextures\Terrain
             0      0 0000000000000000000000000000000000000000    40 Data\Source\TGATextures\Terrain\OverlayMasks
         21690      1 725da3b756f6f28b75a3147799de6bbab7eb038c     0 Data\Source\TGATextures\Terrain\OverlayMasks\AkilaCity.tif
         21212      1 059ddeec62a11c10c5de9c2d3e8ff7d9958fe043     0 Data\Source\TGATextures\Terrain\OverlayMasks\CydoniaCity.tif
          2998      1 8834f45ce40d5ee62f62a9fb202cc583c6a723f2     0 Data\Source\TGATextures\Terrain\OverlayMasks\DefaultSpaceshipLandingOverlay.tif
          5720      1 b080d57306690734abceeeb76747f7c7f583fe4d     0 Data\Source\TGATextures\Terrain\OverlayMasks\DR001World.tif
          8320      1 86343c94d02dd93bc76909517d59558dedd20d08     0 Data\Source\TGATextures\Terrain\OverlayMasks\DR002World.tif
          5854      1 b3105035f86676188d9d2d0423fa6ef8f5b02373     0 Data\Source\TGATextures\Terrain\OverlayMasks\DR003CaveWorld.tif
          9872      1 0271573ac66eed29f903cbe4acbe9c18ba7687e7     0 Data\Source\TGATextures\Terrain\OverlayMasks\DR003CaveWorldC.tif
          6640      1 b73c00518496e97fe7e5b687db03e653b5d132a8     0 Data\Source\TGATextures\Terrain\OverlayMasks\DR003CaveWorldD.tif
          4820      1 8edbc3738038038f8239bd77a91ca2c10451baa6     0 Data\Source\TGATextures\Terrain\OverlayMasks\DR006World03.tif
          3136      1 21f15ea805b08f5b6cdf46028c719eb804535603     0 Data\Source\TGATextures\Terrain\OverlayMasks\DR007World.tif
          3028      1 f69c79115467bf22515c3e4015b75f358e315feb     0 Data\Source\TGATextures\Terrain\OverlayMasks\DR008World.tif
          4920      1 72333c736bfdc56f1c0590ab42c6f09e9fabb11c     0 Data\Source\TGATextures\Terrain\OverlayMasks\DR009World.tif
          9138      1 45809c3933972da455c090d30c2d2356763aea02     0 Data\Source\TGATextures\Terrain\OverlayMasks\DR010World.tif
          5672      1 a51c7f99032e75602f6382fa4080d4b2dc9658f3     0 Data\Source\TGATextures\Terrain\OverlayMasks\DR011World.tif
          4816      1 7f7ef310b58f8e153b77b197e6ff33c3c8d1ea88     0 Data\Source\TGATextures\Terrain\OverlayMasks\DR012World.tif
          7066      1 95d8b61678078d5187ba396f96cb7f03f0fc7f55     0 Data\Source\TGATextures\Terrain\OverlayMasks\DR014GarageWorldB.tif
          5570      1 3363828b67876b72d4dfbe5f67d6395b5900105a     0 Data\Source\TGATextures\Terrain\OverlayMasks\DR015World.tif
          9014      1 601f90ed659db152fe8418a2bc40f0a83a28d0c1     0 Data\Source\TGATextures\Terrain\OverlayMasks\DR016World.tif
          6874      1 b0ad681534a1067ea9c1c080d9c49b14873d5d51     0 Data\Source\TGATextures\Terrain\OverlayMasks\DR017World.tif
         17400      1 07d459bb4b082aadde7111378686ff67037ce35b     0 Data\Source\TGATextures\Terrain\OverlayMasks\DR018World01.tif
          4716      1 4d37f30202313c83754eaf429cebbbd3558efdb5     0 Data\Source\TGATextures\Terrain\OverlayMasks\DR020WorldNew.tif
          4638      1 44c4657b473993fc0a2c6cdd0d02af1bce8d0f3e     0 Data\Source\TGATextures\Terrain\OverlayMasks\DR021World.tif
         17510      1 8224d3adf03d4025c575f0d67a06d0913412a56a     0 Data\Source\TGATextures\Terrain\OverlayMasks\DR022World.tif
          6724      1 d9a7d9b02badc6688fd858741f950c4493b9766d     0 Data\Source\TGATextures\Terrain\OverlayMasks\DR023World.tif
          4682      1 f67aff1fe35965c0921e72e3902cee0548640744     0 Data\Source\TGATextures\Terrain\OverlayMasks\DR024BountyHunters.tif
          4744      1 5274e02a090f2a5d86c30290473c5d78c6620ce1     0 Data\Source\TGATextures\Terrain\OverlayMasks\DR024World.tif
          8048      1 62c3348f33b73d2dea06e1553beedf38940a4257     0 Data\Source\TGATextures\Terrain\OverlayMasks\DR025World.tif
          4582      1 64bfcdccd5c2e6c22cd28956e33e56acefe3ab56     0 Data\Source\TGATextures\Terrain\OverlayMasks\DR026World.tif
          4576      1 0b453c6f7968a79ed6cf9a8f04f2705eec4709d7     0 Data\Source\TGATextures\Terrain\OverlayMasks\DR027World.tif
          7264      1 97fe15dfa81e54cb45dbae25e08665f120c63e29     0 Data\Source\TGATextures\Terrain\OverlayMasks\DR029World.tif
          5116      1 93fb1ae7af881876b3e833ccb0947c1f6f866b06     0 Data\Source\TGATextures\Terrain\OverlayMasks\DR034World.tif
          2900      1 f0827d1e54996c916e02e2be49c002acbf9cb866     0 Data\Source\TGATextures\Terrain\OverlayMasks\DR035World.tif
         25268      1 ef47f237a16d854322bdd30206caf17ede9f38fa     0 Data\Source\TGATextures\Terrain\OverlayMasks\LandingOverlay01.tif
         25920      1 0d66881349a3421d2787cd57107eeb361c4c7bc1     0 Data\Source\TGATextures\Terrain\OverlayMasks\LandingOverlay02.tif
         26028      1 bc53a57c15f14cc3853670f8cf79bbd9bb02d39f     0 Data\Source\TGATextures\Terrain\OverlayMasks\LandingOverlay03.tif
         26012      1 55f2aff0885b8d5b2966cfb16b22111df4965dc2     0 Data\Source\TGATextures\Terrain\OverlayMasks\LandingOverlay04.tif
         25348      1 28682267dbe25d4e2fbdab0baa631535684d9ce1     0 Data\Source\TGATextures\Terrain\OverlayMasks\LandingOverlay05.tif
          8308      1 4f417634bfcd351687a30bdced399248c9f409f2     0 Data\Source\TGATextures\Terrain\OverlayMasks\LC001World.tif
         14556      1 c6786c291a5bf8a0af0f768b2999c78ba1eb512e     0 Data\Source\TGATextures\Terrain\OverlayMasks\LC003KreetBase.tif
         11786      1 672a8c81609e04c1cc7184f93a88d0dfd1d9fc8d     0 Data\Source\TGATextures\Terrain\OverlayMasks\LC006World.tif
         18964      1 f44d2978fb7add60f10daf1c10bb31bc759e166a     0 Data\Source\TGATextures\Terrain\OverlayMasks\LC017World.tif
         37604      1 3004df5f0ee44bf879fd90e369633d972bf1e6fc     0 Data\Source\TGATextures\Terrain\OverlayMasks\LC024World.tif
          8670      1 66f4424e55f43261158fd83708e9d71cf9585678     0 Data\Source\TGATextures\Terrain\OverlayMasks\LC028AbandonedMines.tif
          3872      1 ea86dc230957ae4b4ba7c69e57d7993afc057c7e     0 Data\Source\TGATextures\Terrain\OverlayMasks\LC028DrillExit.tif
          2918      1 70f38f07395697109a5f0a0a77cd1f4b2e9c7f49     0 Data\Source\TGATextures\Terrain\OverlayMasks\LC028FreightElevatorExit.tif
         14440      1 1b385b3943fe0cfcf7608dcb37a0eeb7aa29065e     0 Data\Source\TGATextures\Terrain\OverlayMasks\LC030World.tif
         40026      1 dd68d123fe800d61249eda5b2b31a51435d15215     0 Data\Source\TGATextures\Terrain\OverlayMasks\LC032LondinionBWorld.tif
          8418      1 ddec8a67d41e5168bab1abbdb68f5ca578e0973c     0 Data\Source\TGATextures\Terrain\OverlayMasks\LC042BattleofNiira.tif
         23178      1 5f8de65faaa41022f31332450a02724489e9f7c7     0 Data\Source\TGATextures\Terrain\OverlayMasks\LC062TauGourmetWorld.tif
         18470      1 88d0d4b4455f57c1efbf47e4918072a3b2057ccd     0 Data\Source\TGATextures\Terrain\OverlayMasks\LC070World01.tif
         14220      1 468e24ada39fe6eeb4d6fde987792bd60c93c341     0 Data\Source\TGATextures\Terrain\OverlayMasks\LC071World.tif
          5182      1 253bf50bbefad82639bf09c4978e03adf0e6ec32     0 Data\Source\TGATextures\Terrain\OverlayMasks\LC074World.tif
         12926      1 a70a9a3d12303d3bbba549863134a8855ffc9a2b     0 Data\Source\TGATextures\Terrain\OverlayMasks\LC092World.tif
          8062      1 040b1b366e2a4b445d1ead3191131936eda6146a     0 Data\Source\TGATextures\Terrain\OverlayMasks\LC093KazaalSulfurMineWorldB.tif
         10906      1 75a510f01c57bdc846c9540c42621e29a4407cd8     0 Data\Source\TGATextures\Terrain\OverlayMasks\LC116World.tif
          7248      1 44a6e6f1960eacb1c60de10293e1a47794337c46     0 Data\Source\TGATextures\Terrain\OverlayMasks\LC119TheMantisLairWorld.tif
         15698      1 2092702e46711309f5be47e46d0f58e8f534a3af     0 Data\Source\TGATextures\Terrain\OverlayMasks\LC123World.tif
          6814      1 c652f10647fe105d0d010af755705f3d1412572b     0 Data\Source\TGATextures\Terrain\OverlayMasks\LC124World.tif
         27790      1 cffbdad3a203f46a768de6c58203b7569d9bba3f     0 Data\Source\TGATextures\Terrain\OverlayMasks\LC125World.tif
          4512      1 757ebc557f0eaf14556fa88fa337fce0934c229f     0 Data\Source\TGATextures\Terrain\OverlayMasks\LC126World.tif
          4828      1 4cf760cb8ad0ec86b4f83aed953cd8e126346e1c     0 Data\Source\TGATextures\Terrain\OverlayMasks\LC127World.tif
         12318      1 66d14fcbed0a73c79339a0795b0766c2857697ac     0 Data\Source\TGATextures\Terrain\OverlayMasks\LC131World.tif
          9944      1 d2d4c462dbf4b08d06f1c9e0a55ccdd306dc1d68     0 Data\Source\TGATextures\Terrain\OverlayMasks\LC132World.tif
          7200      1 f9173184b58e678811ee1cded3810d2684bbea88     0 Data\Source\TGATextures\Terrain\OverlayMasks\LC133World.tif
          4722      1 e89b1f6f45869116c720123a20d883a9b0aa2cbc     0 Data\Source\TGATextures\Terrain\OverlayMasks\LC134World.tif
          6688      1 324aa29c7fcff4adf4699ab5d1be5ef4a3a69d13     0 Data\Source\TGATextures\Terrain\OverlayMasks\LC135World.tif
         32486      1 4c57d914852eac43895249fa874d42d78981ddd3     0 Data\Source\TGATextures\Terrain\OverlayMasks\LC136World.tif
          2970      1 c2a96a8dac8d2d6f29e72ced62ad82c302989c61     0 Data\Source\TGATextures\Terrain\OverlayMasks\LC139World.tif
          7160      1 15c9adb016f1e4050d99418ba0f9aa7009a07e04     0 Data\Source\TGATextures\Terrain\OverlayMasks\LC142World.tif
          5902      1 524763bba2497f04c8272ceaa05d35904a9ebd09     0 Data\Source\TGATextures\Terrain\OverlayMasks\LC143World.tif
          6590      1 f3dcf2337adbaeebfad3399c531470373e0a2c6c     0 Data\Source\TGATextures\Terrain\OverlayMasks\LC144World.tif
          7148      1 10c0cf709ef500ca33a27afc5c2fda3210d51ebd     0 Data\Source\TGATextures\Terrain\OverlayMasks\LC146World.tif
          7154      1 44722f13c4c2b047bbebb1eab1f06385e630aeee     0 Data\Source\TGATextures\Terrain\OverlayMasks\LC148World.tif
